,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
158,0k0vFacOHNuArLWMiH60p7,0.578,0.909,7,-3.669,1,0.0628,0.0222,0.0,0.333,0.541,100.023
159,6iiAfo4wTA2CVC3Uwx9uh8,0.506,0.444,6,-4.99,1,0.0285,0.0538,0.0,0.123,0.241,133.873
160,22bPsP2jCgbLUvh82U0Z3M,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032
161,1msEuwSBneBKpVCZQcFTsU,0.598,0.821,10,-4.433,1,0.0447,0.0231,0.0,0.143,0.673,128.03
162,6ON9UuIq49xXY9GPmHIYRp,0.642,0.576,1,-8.524,1,0.0282,0.488,0.0,0.159,0.469,125.0
163,3ExweHKZF9B752DPQByRVT,0.499,0.815,5,-4.063,1,0.0341,0.000191,0.0,0.181,0.344,95.999
164,2m3ObD945KvpE5y9A1eUWm,0.572,0.69,2,-6.201,1,0.0358,0.0474,0.0,0.0897,0.624,160.111
165,0tQ9vBYpldCuikPsbgOVKA,0.393,0.531,5,-6.112,1,0.0329,0.0181,0.0,0.169,0.224,200.391
166,01QdEx6kFr78ZejhQtWR5m,0.546,0.273,9,-9.208,1,0.0308,0.819,0.0,0.137,0.271,118.753
167,1n2wszmJyVkw6FHqyLnQsY,0.476,0.564,2,-5.677,1,0.0269,0.0406,0.0,0.102,0.167,143.929
168,51A8eKvvZz9uydvIZ7xRSV,0.454,0.555,2,-6.69,1,0.0283,0.157,0.0,0.343,0.171,171.862
169,1cSFlSBdpT4F5vb1frQ231,0.432,0.873,4,-4.367,1,0.0577,0.0279,0.0,0.167,0.629,163.936
170,2JoJrsEV15OzbijS47lids,0.482,0.779,7,-5.025,1,0.0409,0.0135,0.0,0.296,0.328,158.162
171,4CHpVfAhuxNJ3ibExe6kxO,0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.101,0.44,142.893
172,2CYVETnhM9aytqrazYYwrK,0.66,0.817,11,-6.269,0,0.0521,0.162,0.0,0.0667,0.714,135.942
173,34V9RiEPe8MNdU32qJsJa1,0.609,0.373,0,-8.819,1,0.0263,0.849,0.0,0.0779,0.13,106.007
174,7eResoqEJJAVTkQYSqvO3P,0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.201
175,4uuEGH5SVuzkkSFjo2DEiY,0.563,0.473,3,-11.548,1,0.0503,0.514,1.2e-05,0.109,0.405,101.934
176,4qUijfYU8EoIWiY6oSyrgT,0.624,0.624,5,-7.86,1,0.0539,0.334,0.0,0.0995,0.527,80.132
177,5ZduaRci3iNUiDfJbBfAaf,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027
178,2HSmyk2qMN8WQjuGhaQgCk,0.423,0.667,6,-7.012,0,0.326,0.758,0.0,0.246,0.496,86.743
179,6jy9yJfgCsMHdu2Oz4BGKX,0.701,0.741,2,-6.157,1,0.313,0.112,0.0,0.699,0.588,140.177
180,37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975
181,61S79KIVA4I9FXbnsylEHT,0.686,0.385,7,-8.35,0,0.297,0.614,0.0,0.131,0.147,143.07
182,4VCbgIdr8ptegWeJpqLVHH,0.73,0.576,2,-5.442,1,0.287,0.354,3.59e-05,0.15,0.155,92.131
183,40iJIUlhi6renaREYGeIDS,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937
184,0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008
185,4s7QLoImIwmPi9L6dq1nVW,0.568,0.56,9,-9.059,1,0.42,0.228,3.05e-06,0.39,0.246,130.019
186,34D6FJysnQioVingDKufuf,0.507,0.429,2,-7.726,1,0.326,0.0518,0.0,0.109,0.0744,91.0
187,11pEKMLmavDu8fxOB5QjbQ,0.518,0.69,9,-6.15,1,0.107,0.128,0.0,0.176,0.59,77.837
188,1PDP7mLiAMwhfmgIwzhOm2,0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614
189,2tUL6dZf1mywCj5WvCPZw6,0.84,0.744,1,-4.751,1,0.113,0.0181,0.0,0.629,0.171,83.737
190,2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887
191,42m3eP1JJhtzffal9B136J,0.724,0.531,5,-4.108,0,0.298,0.225,0.0,0.11,0.141,89.901
